date,account,start_equity,flows,end_equity,twr
2025-11-14,U3589081,24359.426624612,-3300.0,20056.426624612,-4.762712765
2025-11-17,U3589081,20056.426624612,0.0,19859.426624612,-0.982228807
2025-11-18,U3589081,19859.426624612,0.0,19779.426624612,-0.402831368
2025-11-19,U3589081,19779.426624612,0.0,19942.426624612,0.8240886
2025-11-20,U3589081,19942.426624612,250.0,19964.426624612,-1.129136207
2025-11-21,U3589081,19964.426624612,0.0,20158.766624612,0.973431412
2025-11-24,U3589081,20158.766624612,0.0,20306.766624612,0.7341719
2025-11-25,U3589081,20306.766624612,0.0,20771.766624612,2.289877106
2025-11-26,U3589081,20771.766624612,0.0,21021.766624612,1.203556753
2025-11-27,U3589081,21021.766624612,0.0,21021.766624612,0.0
2025-11-28,U3589081,21021.766624612,0.0,21548.806624612,2.507115645
2025-12-01,U3589081,21548.806624612,0.0,21747.766624612,0.923299389
2025-12-02,U3589081,21747.766624612,0.0,21207.766624612,-2.483013586
2025-12-03,U3589081,21207.766624612,0.0,21324.766624612,0.551684683
2025-12-04,U3589081,21324.766624612,250.0,21679.766624612,0.486679656
2025-12-05,U3589081,21679.766624612,0.0,21679.766624612,0.0
2025-12-08,U3589081,21679.766624612,0.0,21427.996624612,-1.161313239
2025-12-09,U3589081,21427.996624612,0.0,21612.996624612,0.863356492
2025-12-10,U3589081,21612.996624612,0.0,21497.996624612,-0.532087253
2025-12-11,U3589081,21497.996624612,0.0,22380.996624612,4.107359469
2025-12-12,U3589081,22380.996624612,0.0,22533.996624612,0.68361567
2025-12-15,U3589081,22533.996624612,0.0,22604.306624612,0.312017443
2025-12-16,U3589081,22604.306624612,0.0,22575.306624612,-0.128294137
2025-12-17,U3589081,22575.306624612,0.0,22991.306624612,1.842721372
2025-12-18,U3589081,22991.306624612,250.0,23147.306624612,-0.404452303
2025-12-19,U3589081,23147.306624612,0.0,23375.306624612,0.984995808
2025-12-22,U3589081,23375.306624612,0.0,24197.716624612,3.518285399
2025-12-23,U3589081,24197.716624612,0.0,24560.716624612,1.500141545
2025-12-24,U3589081,24560.716624612,0.0,24531.716624612,-0.118074731
2025-12-25,U3589081,24531.716624612,0.0,24531.716624612,0.0
2025-12-26,U3589081,24531.716624612,0.0,25030.716624612,2.034101435
2025-12-29,U3589081,25030.716624612,0.0,22941.426624612,-8.346904451
2025-12-30,U3589081,22941.426624612,0.0,23368.426624612,1.861261756
2025-12-31,U3589081,23368.426624612,250.0,23166.426624612,-1.913759994
2026-01-01,U3589081,23166.426624612,0.0,23166.426624612,0.0
2026-01-02,U3589081,23166.426624612,0.0,23052.026624612,-0.493818066
2026-01-05,U3589081,23052.026624612,0.0,24271.026624612,5.288038314
2026-01-06,U3589081,24271.026624612,0.0,24718.036624612,1.841743272
2026-01-07,U3589081,24718.036624612,0.0,24382.036624612,-1.359331265
2026-01-08,U3589081,24382.036624612,0.0,24364.036624612,-0.073824842
2026-01-09,U3589081,24364.036624612,0.0,24865.926624612,2.059962426
2026-01-12,U3589081,24865.926624612,0.0,24941.126624612,0.302421869
2026-01-13,U3589081,24941.126624612,0.0,24738.126624612,-0.813916721
2026-01-14,U3589081,24738.126624612,0.0,23638.126624612,-4.446577612
2026-01-15,U3589081,23638.126624612,250.0,24187.126624612,1.251667846
2026-01-16,U3589081,24187.126624612,0.0,24120.126624612,-0.27700686
2026-01-19,U3589081,24120.126624612,0.0,24120.126624612,0.0
2026-01-20,U3589081,24120.126624612,0.0,21932.206624612,-9.070930821
2026-01-21,U3589081,21932.206624612,0.0,22649.206624612,3.269164897
2026-01-22,U3589081,22649.206624612,0.0,23408.206624612,3.351110759
2026-01-23,U3589081,23408.206624612,0.0,24071.206624612,2.832340002
2026-01-26,U3589081,24071.206624612,0.0,25100.286624612,4.275149211
2026-01-27,U3589081,25100.286624612,0.0,25093.546624612,-0.026852283
2026-01-28,U3589081,25093.546624612,0.0,27289.546624612,8.751253989
2026-01-29,U3589081,27289.546624612,250.0,27685.546624612,0.530146709
2026-01-30,U3589081,27685.546624612,0.0,21589.566624612,-22.018636954
2026-02-02,U3589081,21589.566624612,0.0,20664.886624612,-4.282994726
2026-02-03,U3589081,20664.886624612,0.0,23488.886624612,13.66569317
2026-02-04,U3589081,23488.886624612,0.0,23646.886624612,0.672658532
2026-02-05,U3589081,23646.886624612,0.0,23033.886624612,-2.592307435
2026-02-06,U3589081,23033.886624612,0.0,23936.886624612,3.920311039
2026-02-09,U3589081,23936.886624612,0.0,24934.146624612,4.166205972
2026-02-10,U3589081,24934.146624612,-1000.0,23450.146624612,-2.022215405
2026-02-11,U3589081,23450.146624612,0.0,24125.146624612,2.878446821
2026-02-12,U3589081,24125.146624612,250.0,22874.146624612,-6.157911676
2026-02-13,U3589081,22874.146624612,0.0,23853.146624612,4.279941088
2026-02-16,U3589081,23853.146624612,0.0,23853.146624612,-0.0
2026-02-17,U3589081,23853.146624612,0.0,22450.566624612,-5.880062795
2026-02-18,U3589081,22450.566624612,0.0,23486.566624612,4.614582863
2026-02-19,U3589081,23486.566624612,0.0,23365.566624612,-0.515188116
2026-02-20,U3589081,23365.566624612,0.0,24200.566624612,3.573634714
2026-02-23,U3589081,24200.566624612,0.0,25648.586624612,5.983413622
2026-02-24,U3589081,25648.586624612,0.0,25155.586624612,-1.922133205
2026-02-25,U3589081,25155.586624612,0.0,25654.586624612,1.983654794
2026-02-26,U3589081,25654.586624612,500.0,25834.586624612,-1.223494772
2026-02-27,U3589081,25834.586624612,0.0,26371.586624612,2.078608835
2026-03-02,U3589081,26371.586624612,0.0,27009.976624612,2.420749305
2026-03-03,U3589081,27009.976624612,0.0,25130.976624612,-6.956688731
2026-03-04,U3589081,25130.976624612,0.0,25240.976624612,0.437706825
2026-03-05,U3589081,25240.976624612,0.0,24680.976624612,-2.218614629
2026-03-06,U3589081,24680.976624612,0.0,25482.146624612,3.246103313
2026-03-09,U3589081,25482.146624612,0.0,24932.146624612,-2.158373893
2026-03-10,U3589081,24932.146624612,0.0,26316.146624612,5.551066344
2026-03-11,U3589081,26316.146624612,0.0,25687.286624612,-2.389635568
2026-03-12,U3589081,25687.286624612,250.0,25404.286624612,-2.054956664
2026-03-13,U3589081,25404.286624612,0.0,24763.286624612,-2.523196221
2026-03-16,U3589081,24763.286624612,0.0,24169.386624612,-2.398308468
